time,open,high,low,close,EMA,EMA,EMA,EMA,MA,MA,MA,MA,Basis,Upper,Lower,Volume,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D,OnBalanceVolume,Accumulation/Distribution,DI+,DI-,ADX,Aroon Up,Aroon Down
2001-05-25,49.96001,50.02,48.64999,48.99001,60.59638557469076,51.47462940883079,47.023896743018696,47.5450049234957,65.52589890000014,50.35461109999981,43.90579840000012,47.69999699999997,47.69999699999997,51.15013680588889,44.249857194111044,36188496,55.93125205552729,55.67068020100199,NaN,NaN,NaN,NaN,NaN,NaN,0.1611044877044765,1.3181123317260628,1.1570078440215863,62.48428390367548,64.89222644697928,-43383002,-546008221.3910398,26.617600598977585,18.003933991084274,15.82872569261041,78.57142857142857,50
2001-05-29,48.5,48.5,46.10001,46.12,60.45234193713164,51.368597143309394,46.98844981191992,47.409290168877064,65.30681140000014,50.19143609999982,44.00619820000013,47.69849749999997,47.69849749999997,51.15135565668245,44.245639343317485,66603312,47.70486622608321,54.95562731872213,NaN,NaN,NaN,NaN,NaN,NaN,-0.09431314984652861,1.0391164067134255,1.1334295565599541,26.108998732572815,54.203633291085715,-109986314,-611502028.5957032,24.19434973820589,24.3976931226336,14.627727340397675,71.42857142857143,42.857142857142854
2001-05-30,45.438,45.85001,44.08,44.42999,60.2929155496975,51.231198982055744,46.888118054589725,47.12554729565068,65.07458635000015,50.02261099999981,44.02959820000013,47.51749699999996,47.51749699999996,51.246183388016554,43.78881061198337,81392000,43.63500062618448,54.26825572803224,NaN,NaN,43.63500062618448,NaN,NaN,NaN,-0.3676456765845224,0.6738724608293012,1.0415181374138236,4.689353612167228,31.09421208280517,-191378314,-660706203.5777656,22.628324092694623,29.227771264579122,14.61286240732501,64.28571428571429,35.714285714285715
2001-05-31,44.53999,45.85001,44.3,44.73,60.13806066860598,51.10246236854969,46.803485974017576,46.897399934160134,64.83354885000016,49.90366099999982,44.11719800000012,47.304996999999965,47.304996999999965,51.15840096016013,43.4515930398398,67973184,44.53954925609025,53.78940587178979,NaN,NaN,NaN,NaN,NaN,NaN,-0.510041999869224,0.40396563757729353,0.9140076374465176,8.491761723700819,13.096704689480285,-123405130,-690965477.1900907,21.490138345373683,27.757638852517708,14.99442727798281,57.142857142857146,28.571428571428573
2001-06-01,45.53999,46.23,44.33,46.05,59.99788096046065,51.00241360877643,46.77393750444826,46.81669517852583,64.59848635000014,49.79166099999981,44.231197800000125,47.26749699999996,47.26749699999996,51.1542818126928,43.380712187307125,61868800,48.458772940778395,53.63208176460966,NaN,NaN,NaN,NaN,NaN,NaN,-0.49664952911386495,0.2931957260541864,0.7898452551680514,25.22179974651451,12.80097169412752,-61536330,-640819186.6637748,21.39732197588739,26.029306967469868,15.504055714522377,50,21.428571428571427
2001-06-04,46.338,46.89999,45.28999,45.83,59.85690702055557,50.89998957691947,46.73692034741108,46.72272420914242,64.36052700000016,49.67746099999981,44.291797800000126,47.148996999999966,47.148996999999966,51.059277595580916,43.238716404419016,41679504,47.85182892957206,53.57257130723067,NaN,NaN,NaN,NaN,NaN,NaN,-0.4834609533721659,0.18551906345284408,0.66898001682501,22.433460076045574,18.715673848753635,-103215834,-654539250.9680732,22.484289251337994,24.62983842004599,15.511311356325066,42.857142857142854,14.285714285714286
2001-06-05,46.30099,48.36,46.2,47.85001,59.73743540841074,50.83959394173294,46.780570922022406,46.83008476065267,64.12258955000016,49.554086099999815,44.39279800000012,47.18149749999996,47.18149749999996,51.103720439891134,43.25927456010879,68143120,53.598587364872685,53.8552333460692,NaN,NaN,NaN,NaN,NaN,NaN,-0.3270374315733532,0.26018322735831845,0.5872206589316716,48.03561470215456,31.89695817490488,-35072714,-618574195.5688142,25.421899557453404,22.575737347265896,15.756331773261865,35.714285714285715,7.142857142857143
2001-06-06,48.08,48.89,47.07001,47.48,59.615470876983764,50.77306732902536,46.80799951331564,46.891981450114315,63.884286450000154,49.40951109999982,44.506198000000126,47.14549749999996,47.14549749999996,51.0428042713755,43.24819072862442,61160896,52.45822705194518,53.66633108212362,NaN,NaN,NaN,NaN,NaN,NaN,-0.24081710841636084,0.28619927341122064,0.5270163818275815,43.20203303684875,37.890369271682964,-96233610,-652179604.1748838,25.646393160970725,21.20565964826926,15.662091017020566,28.571428571428573,0
2001-06-07,47.138,49.49001,47.075,48.7,59.50685922646651,50.73201649082684,46.882195610832675,47.06417369296057,63.649036450000146,49.26916739999982,44.61519800000012,47.252997499999964,47.252997499999964,51.19699892244007,43.308996077559854,65357200,55.79760521117366,53.581391235191624,NaN,NaN,NaN,NaN,55.79760521117366,NaN,-0.10109900736919908,0.40064262261608263,0.5017416299852817,58.70393900889456,49.980528915965955,-30876410,-629582344.3589823,25.582442184771715,19.513386314171296,15.297163958181395,21.428571428571427,57.142857142857146
2001-06-08,48.72,48.77,46.95,47.35001,59.38589555257132,50.66504606526591,46.90054127315296,47.0913961983929,63.40859900000015,49.12282379999982,44.76819820000012,47.33199799999996,47.33199799999996,51.2168672220251,43.447128777974825,56389392,51.48787026726623,53.16291408861345,NaN,NaN,NaN,NaN,NaN,NaN,-0.09895412204152121,0.3780489774333802,0.4770030994749014,41.550317662007586,47.81876323591697,-87265802,-661184570.7612684,24.026321934387813,18.744204999400168,14.958090573225535,14.285714285714286,50
